Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2005,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),5180332.0
2006,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),10011265.0
2007,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),3161713.0
2008,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),2359031.0
2009,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),5004163.0
2010,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),6357559.0
2011,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),2850474.0
2012,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),3279780.0
2013,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),2619072.0
2014,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),1949503.0
2015,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),7918363.0
2016,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),10175601.0
2017,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),9614355.0
2018,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),8261781.0
2019,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),8171046.0
2020,VC_DSR_AFFCT,231,NUMBER,2025-03-05T00:00:00,A,0,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),67306.0
