Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2022,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
2023,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
2024,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.5
2000,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",54.4
2001,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",53.3
2002,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",52.3
2003,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",51.3
2004,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",50.2
2005,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",49.1
2006,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",47.8
