Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.16
2001,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.08
2002,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.12
2003,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.12
2004,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.02
2005,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.98
2006,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.11
2007,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.19
2008,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.16
2009,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.41
2010,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.33
2011,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.36
2012,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.59
2013,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.61
2014,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.77
2015,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.89
2016,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.7
2017,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.75
2018,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.94
2019,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.03
2020,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.05
2021,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.19
2022,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,12,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.25
