Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.86
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",12.0
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",13.0
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",13.0
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",24.0
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",24.0
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",24.0
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",24.0
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",24.0
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",30.0
2009,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",30.0
