Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,65.0
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,70.95
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,76.93
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,82.96
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,83.3
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,87.94
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,91.4
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,94.86
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,98.32
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,94.41
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,97.65
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,7.01
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.92
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.82
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.65
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.5
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.35
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.2
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.06
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,5.92
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,5.79
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,5.66
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,5.54
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,5.41
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,4.17
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.91
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,1.63
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.45
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.52
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.62
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.73
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.83
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.73
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,2.39
