Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C250,None,T,2024-05-16T00:00:00,2010-2022,France,748.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C250,None,T,2024-05-16T00:00:00,2010-2022,France,1303.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C250,None,T,2024-05-16T00:00:00,2010-2022,France,1547.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,22.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,40.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,123.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,178.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,80.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C275,None,T,2024-05-16T00:00:00,2010-2022,State of Palestine,220.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,203.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,765.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,462.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,443.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,1203.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C300,None,T,2024-05-16T00:00:00,2010-2022,Greece,808.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C336,None,T,2024-05-16T00:00:00,2010-2019,Holy See,18.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C376,None,T,2024-05-16T00:00:00,2010-2022,Israel,1308.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C376,None,T,2024-05-16T00:00:00,2010-2022,Israel,1429.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C376,None,T,2024-05-16T00:00:00,2010-2022,Israel,2958.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C376,None,T,2024-05-16T00:00:00,2010-2022,Israel,4799.0
