Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,258509.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,265744.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,271789.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,276738.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OP,12,None,None,PT,2024-05-16T00:00:00,2010-2021,,35.67198
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OP,12,None,None,PT,2024-05-16T00:00:00,2010-2021,,42.1221
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OP,12,None,None,PT,2024-05-16T00:00:00,2010-2021,,38.89961
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OP,12,None,None,PT,2024-05-16T00:00:00,2010-2021,,34.0892
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OP,12,None,None,PT,2024-05-16T00:00:00,2010-2021,,33.69342
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OV,12,None,None,T,2024-05-16T00:00:00,2010-2021,,85098.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OV,12,None,None,T,2024-05-16T00:00:00,2010-2021,,105106.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OV,12,None,None,T,2024-05-16T00:00:00,2010-2021,,100559.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OV,12,None,None,T,2024-05-16T00:00:00,2010-2021,,90590.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_OV,12,None,None,T,2024-05-16T00:00:00,2010-2021,,91575.0
2015,A,0,"Plastic Pollution (MLW, MDMAP, ICC)",EN_MAR_BEALIT_PUSA,12,None,None,NUM_ITEMS_PER_100M2,2025-05-13T00:00:00,2018,,3429.0
2016,A,0,"Plastic Pollution (MLW, MDMAP, ICC)",EN_MAR_BEALIT_PUSA,12,None,None,NUM_ITEMS_PER_100M2,2025-05-13T00:00:00,2018,,3945.0
2018,A,0,"Plastic Pollution (MLW, MDMAP, ICC)",EN_MAR_BEALIT_PUSA,12,None,None,NUM_ITEMS_PER_100M2,2025-05-13T00:00:00,2018,,0.0
2018,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_E,PT,2024-06-12T00:00:00,2022,,1.27961
2019,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_E,PT,2024-06-12T00:00:00,2022,,1.67715
2020,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_E,PT,2024-06-12T00:00:00,2022,,0.58911
