Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.4
2015,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.5
2016,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.6
2017,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.8
2018,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.8
2019,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.9
2020,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,98.9
2021,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,99.0
2022,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,99.1
2023,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,99.1
2000,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.6
2001,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.7
