Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2013,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),48.0
2014,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),55.0
2015,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),58.0
2016,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),62.0
2017,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),65.0
2018,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),64.0
2019,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),65.0
2020,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),68.0
2021,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),62.0
2022,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),62.0
2023,SH_ACS_PCV3,231,PT,2025-03-17T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),69.0
