Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,12,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,7.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,12,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,5.0
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,12,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,8.0
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,12,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,13.0
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,12,None,None,NUMBER,2025-03-13T00:00:00,2020,27.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,12,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2017,14.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,12,M,Y0T17,NUMBER,2025-03-13T00:00:00,2017,13.0
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2020,0.06
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2017,0.1
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,12,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2017,0.18
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,12,None,None,NUMBER,2025-03-13T00:00:00,2022,32.0
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,12,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2016,10.0
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,12,F,Y0T17,NUMBER,2025-03-13T00:00:00,2016,7.0
