Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2002,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",73.7
2003,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",70.3
2004,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",66.9
2005,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",63.6
2006,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",60.5
2007,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",57.5
2008,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",54.7
2009,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",52.3
2010,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",50.0
2011,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",47.8
2012,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",45.8
2013,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",43.9
