Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2019,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
2020,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
2021,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
2022,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
2023,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
2024,SG_STT_NSDSIMPL,231,NUMBER,2025-03-13T00:00:00,A,0,2024,Observation value represents the number of countries with national statistical plans that are under implementation,PARIS21 SDG Survey,1.0
