Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2016,SI_DST_FISP,231,FIS_POSTFIS_CON_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),32.82024
2018,SI_DST_FISP,231,FIS_POSTFIS_CON_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),35.7
2016,SI_DST_FISP,231,FIS_POSTFIS_DIS_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),32.77012
2018,SI_DST_FISP,231,FIS_POSTFIS_DIS_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),35.6
2016,SI_DST_FISP,231,FIS_PREFIS_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),34.79729
2018,SI_DST_FISP,231,FIS_PREFIS_INC,PT,2025-03-21T00:00:00,A,0,2018,"World Bank; based on data from: 2018/19 Ethiopian Socioeconomic Survey; pensions treated as deferred income; main welfare variable: consumption, adult equivalent.",World Bank (Collection agencies specified in footnote),37.1
