Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,F,PER_100000_POP,2025-03-21T00:00:00,2023,0.41
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,F,PER_100000_POP,2025-03-21T00:00:00,2023,0.57
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,F,PER_100000_POP,2025-03-21T00:00:00,2023,0.73
2022,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,F,PER_100000_POP,2025-03-21T00:00:00,2023,0.5
2023,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,F,PER_100000_POP,2025-03-21T00:00:00,2023,0.46
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,1.01
2013,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,0.86
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.45
2015,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.32
2016,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.24
2017,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.2
2018,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.22
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,1.96
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.37
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.34
2022,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,2.94
2023,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,M,PER_100000_POP,2025-03-21T00:00:00,2023,1.83
2006,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,312.0
