Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2008,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,99.93948
2008,SE_TRA_GRDL,231,F,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,93.50965
2009,SE_TRA_GRDL,231,F,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,88.92908
2008,SE_TRA_GRDL,231,F,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,69.6972
2009,SE_TRA_GRDL,231,F,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,76.81341
2010,SE_TRA_GRDL,231,F,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,48.17462
2011,SE_TRA_GRDL,231,F,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,52.79192
2008,SE_TRA_GRDL,231,F,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,47.48932
2009,SE_TRA_GRDL,231,F,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,51.9084
2012,SE_TRA_GRDL,231,F,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,60.92655
2015,SE_TRA_GRDL,231,F,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,100.0
2008,SE_TRA_GRDL,231,M,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,63.43239
2010,SE_TRA_GRDL,231,M,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,48.88575
2000,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,50.0
2001,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,53.81526
2002,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,53.71429
2003,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,58.15085
2004,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,60.09732
2005,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,68.25
2006,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,17.53501
2007,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,12.10253
2008,SE_TRA_GRDL,231,M,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,11.17739
2008,SE_TRA_GRDL,231,M,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,87.28443
2009,SE_TRA_GRDL,231,M,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,81.96144
2008,SE_TRA_GRDL,231,M,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,63.346
2009,SE_TRA_GRDL,231,M,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,72.51054
2010,SE_TRA_GRDL,231,M,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,55.08979
2011,SE_TRA_GRDL,231,M,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,71.10432
2008,SE_TRA_GRDL,231,M,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,63.79532
2009,SE_TRA_GRDL,231,M,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,78.31296
2012,SE_TRA_GRDL,231,M,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,90.28871
2015,SE_TRA_GRDL,231,M,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,100.0
