Year,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2005,SL_TLF_UEMDIS,231,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,3.25
2013,SL_TLF_UEMDIS,231,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,2.96
2021,SL_TLF_UEMDIS,231,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,5.31
2005,SL_TLF_UEMDIS,231,M,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.81
2013,SL_TLF_UEMDIS,231,M,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.65
2021,SL_TLF_UEMDIS,231,M,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,2.93
2005,SL_TLF_UEMDIS,231,M,Y_GE15,PD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.98
2013,SL_TLF_UEMDIS,231,M,Y_GE15,PD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.1
2021,SL_TLF_UEMDIS,231,M,Y_GE15,PD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,2.94
2005,SL_TLF_UEMDIS,231,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.81
2013,SL_TLF_UEMDIS,231,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,1.67
2021,SL_TLF_UEMDIS,231,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,2.93
