Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2009,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.37
2010,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.74
2011,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.47
2012,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.34
2013,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.94
2014,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,3.88
2015,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,3.57
2016,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.4
2017,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.06
2018,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.71
2019,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.17
2020,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.07
2021,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.87
2022,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.95
2000,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.059
2001,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.069
2002,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.071
2003,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.078
2004,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.074
2005,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.06
2006,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.058
2007,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.058
2008,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.057
2009,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.053
2010,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.047
2011,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.049
2012,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.048
2013,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.051
2014,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.055
2015,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.05
2016,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.055
2017,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.049
2018,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.051
2019,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.052
2020,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.045
2021,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.047
2022,EN_ATM_CO2GDP,231,None,KG_PER_CON_USD,2025-02-19T00:00:00,A,0,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,0.044
2000,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.236
2001,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.45
2002,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.492
2003,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.406
2004,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.541
2005,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.416
2006,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.369
2007,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.377
2008,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.295
2009,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.17
2010,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.331
2011,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.603
2012,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.358
2013,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.459
2014,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.651
2015,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.285
2016,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.338
2017,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,0.99
2018,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.075
2019,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.096
2020,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.0
2021,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.101
2022,EN_ATM_CO2MVA,231,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,A,0,2022,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,1.065
