Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2016,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2017,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2018,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2019,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.33
2020,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2021,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2022,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.17
2023,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXCSS,12,SCORE,2025-03-21T00:00:00,2023,3.17
2015,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.83
2016,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,4.5
2017,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.67
2018,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2019,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.5
2020,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,4.0
2021,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.83
2022,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.83
2023,E,0,Observation obtained through an estimation using SDG 2.4.1 Proxy methodology,Computed by FAO using as input country-level data from FAOSTAT. SDG 6.4.2 and SDG 8.3.1 reporting,AG_LND_SUST_PRXTS,12,SCORE,2025-03-21T00:00:00,2023,3.83
