Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2022,FB_BNK_ACCSS,231,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",38.7371748685837
2014,FB_BNK_ACCSS,231,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",22.6220563054085
2017,FB_BNK_ACCSS,231,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",40.9438759088516
2022,FB_BNK_ACCSS,231,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",54.6826004981995
2014,FB_BNK_ACCSS_ILF,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",24.19034
2017,FB_BNK_ACCSS_ILF,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",38.39322
2022,FB_BNK_ACCSS_ILF,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",52.14798
2014,FB_BNK_ACCSS_OLF,231,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",17.47153
2017,FB_BNK_ACCSS_OLF,231,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",23.38583
2022,FB_BNK_ACCSS_OLF,231,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",33.48473
