Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,8
2001,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,8
2002,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,8
2003,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,8
2004,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,8
2005,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,9
2006,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2007,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2008,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2009,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2010,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2011,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2012,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2013,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2014,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2015,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2016,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2017,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2018,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2019,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2020,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2021,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2022,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2023,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,65
2024,ER_NOEX_LBREDN,231,NUMBER,2025-03-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,93
2000,ER_NOEX_TRBBREDN,231,NUMBER,2025-05-21T00:00:00,E,0,2024,Institute of Biodiversity Conservation and Research,1
