Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.076873
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.067444
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.068575
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.06706
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.055788
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.053039
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.050941
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.056748
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.050871
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.048586
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.048404
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.137851
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.155069
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.179663
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.159156
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.191717
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.18854
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.173315
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.193767
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.239011
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.308115
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.262233
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.256142
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.269881
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.290005
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.307163
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.30911
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.290633
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.256357
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.233894
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.231005
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.198901
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.165929
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.151494
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.180292
