Year,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,CUST_BREAKDOWN_LB,Value
2005,ER_MTN_GRNCOV,231,None,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,750.7
2010,ER_MTN_GRNCOV,231,None,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1045.2
2015,ER_MTN_GRNCOV,231,None,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1170.8
2018,ER_MTN_GRNCOV,231,None,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1413.3
2021,ER_MTN_GRNCOV,231,None,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1575.0
2000,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,532183.8
2005,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,531230.1
2010,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,530385.2
2015,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,528212.3
2018,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,525878.4
