Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2011,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",9.29
2015,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",7.9
2017,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",6.48
2018,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",6.27
2019,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",7.07
2020,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",6.89
2021,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",7.07
2022,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",5.36
2023,SI_RMT_COST,231,PT,2024-03-13T00:00:00,A,0,2023,Third quarter of the specified year.,"World Development Indicators database, World Bank.",5.51
