Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2005,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.38
2006,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.47
2007,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.42
2008,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.22
2009,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.2
2010,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.22
2011,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.22
2012,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.35
2013,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.16
2014,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.19
2015,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.2
2016,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.25
2017,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.26
2018,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.11
2019,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.1
2020,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.09
2021,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.08
