Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,5.32648
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,5.38658
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,57.85329
2024,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,60.98387
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,59.89676
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,93.21817
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,73.36667
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,85.03937
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.80531
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,100.0
2024,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,100.0
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,100.0
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,100.0
