Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.016
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.019
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.022
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.025
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.028
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.03
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.032
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.033
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.033
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.033
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.035
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.035
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.036
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.036
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.037
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.039
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.042
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.046
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0028
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0033
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0039
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0045
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0049
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0055
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0056
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0056
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0055
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0054
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0054
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0054
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0055
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0056
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0058
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.006
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0063
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0066
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.007
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0075
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.008
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0025
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.003
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0036
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0044
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0063
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0073
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0085
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0082
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0092
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0092
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.01
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.011
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.01
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.013
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.014
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.013
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.012
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.012
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.011
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.013
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.014
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.014
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.014
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.021
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.025
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.03
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.037
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.04
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.042
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.044
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.045
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.046
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.047
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.048
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.05
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.054
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.057
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.06
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.063
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.067
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.072
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.027
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.032
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.036
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.041
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.045
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.048
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.051
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.053
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.053
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.052
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.053
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.054
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.056
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.058
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.061
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.064
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.067
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.071
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.076
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.081
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.014
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.017
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.02
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.023
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.026
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.028
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.029
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.03
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.031
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.032
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.032
