Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2017,FI_FSI_FSANL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,3.412864319
2018,FI_FSI_FSANL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,3.56052322
2019,FI_FSI_FSANL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,2.671735821
2020,FI_FSI_FSANL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,3.429771877
2021,FI_FSI_FSANL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,5.414859338
2017,FI_FSI_FSERA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,3.052606294
2018,FI_FSI_FSERA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,3.063625673
2019,FI_FSI_FSERA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,2.895283935
2020,FI_FSI_FSERA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,1.946560634
2021,FI_FSI_FSERA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,2.881751903
2017,FI_FSI_FSKA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,8.670292774
2018,FI_FSI_FSKA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,8.598007388
2019,FI_FSI_FSKA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,7.976795294
2020,FI_FSI_FSKA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,7.15636507
2021,FI_FSI_FSKA,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,7.057513967
2017,FI_FSI_FSKNL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,7.359005127
2018,FI_FSI_FSKNL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,12.61619821
2019,FI_FSI_FSKNL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,7.686086805
2020,FI_FSI_FSKNL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,18.31954519
2021,FI_FSI_FSKNL,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,21.28601455
2017,FI_FSI_FSKRTC,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,23.22364459
2018,FI_FSI_FSKRTC,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,20.95420884
2019,FI_FSI_FSKRTC,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,17.69083307
2020,FI_FSI_FSKRTC,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,16.17921878
2021,FI_FSI_FSKRTC,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,16.52289657
2017,FI_FSI_FSLS,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,14.29817202
2018,FI_FSI_FSLS,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,15.18803872
2019,FI_FSI_FSLS,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,14.35788293
2020,FI_FSI_FSLS,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,16.9569726
2021,FI_FSI_FSLS,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,26.78418024
2019,FI_FSI_FSSNO,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,28.8815271
2020,FI_FSI_FSSNO,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,28.41925706
2021,FI_FSI_FSSNO,231,PT,2025-03-26T00:00:00,A,0,2021,IMF,26.53624909
