Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),92.17158
2002,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),89.07633
2004,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),85.98109
2006,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),82.88584
2008,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),79.7906
2010,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),76.69536
2012,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),73.60011
2014,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),70.50487
2016,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),67.40962
2018,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),64.31438
2020,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),64.31438
2022,EN_LND_SLUM,231,U,PT,2025-06-25T00:00:00,A,0,2022,United Nations Human Settlements Programme (UN-HABITAT),64.31438
