Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,11.3752453194881
2006,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,22.111901264211
2007,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,1.12933325064654
2008,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,1.18114274342916
2009,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.883621199195184
2010,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.604873213157268
2011,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.587429122747538
2012,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.840871820355469
2013,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.418162026142313
2014,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.358073411499831
2015,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.470755750122816
2016,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.475646929851391
2017,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.41848455358651
2018,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.327383510035872
2019,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.333320590291572
2020,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.406107212322761
2021,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.292904426645949
2022,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.255629393742278
2023,A,0,"World Bank, International Debt Statistics.",DT_TDS_DECT,12,PT,2025-03-19T00:00:00,2023,0.443858465232808
