Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),26.7
2001,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),25.7
2002,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),24.7
2003,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),23.8
2004,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),22.9
2005,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),22.0
2006,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),21.1
2007,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),20.3
2008,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),19.5
2009,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.9
2010,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.4
2011,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.2
2012,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.1
2013,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.2
2014,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.4
2015,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),18.8
2016,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),19.1
2017,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),19.5
2018,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),19.8
2019,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),20.2
2020,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),20.7
2021,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),21.4
2022,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),22.2
2023,SH_STA_ANEM,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.8,WHO Global Health Observatory (https://www.who.int/data/gho/),23.1
2000,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),25.8
2001,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),24.7
2002,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),23.7
2003,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),22.8
2004,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),21.9
2005,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),21.1
2006,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),20.2
2007,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),19.4
2008,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),18.7
2009,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),18.1
2010,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),17.6
2011,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),17.4
2012,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),17.4
2013,SH_STA_ANEM_NPRG,231,F,Y15T49,PT,2025-03-25T00:00:00,A,0,2023,40.4,11.3,WHO Global Health Observatory (https://www.who.int/data/gho/),17.5
