Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Corresponds to the volumes treated in stations managed by the National Sanitation Office (ONA) only.,UNSD,EN_WWT_TREAT,12,None,M_M3_PER_YR,2024-03-16T00:00:00,2017,222.3
2022,A,0,Corresponds to the volumes treated in stations managed by the National Sanitation Office (ONA) only.,UNSD,EN_WWT_TREAT_SF,12,None,M_M3_PER_YR,2024-03-16T00:00:00,2017,222.3
2020,A,0,,WHO 2024,EN_WWT_WWDS,12,None,PT,2025-03-21T00:00:00,2024,76.16699
2022,A,0,,WHO 2024,EN_WWT_WWDS,12,None,PT,2025-03-21T00:00:00,2024,76.18772888
2024,A,0,,WHO 2024,EN_WWT_WWDS,12,None,PT,2025-03-21T00:00:00,2024,76.20021057
