Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,12,NUMBER,2025-03-17T00:00:00,2024,1
2023,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,12,NUMBER,2025-03-17T00:00:00,2024,1
2024,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,12,NUMBER,2025-03-17T00:00:00,2024,1
2000,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,100
2005,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,100
2010,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2015,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2016,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2017,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2018,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2019,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2020,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2021,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2022,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2023,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
2024,A,0,Name of NHRI - Commission Nationale des Droits de l’homme,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_IMPL,12,PT,2025-05-07T00:00:00,2024,0
