Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
1993,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85292
1994,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85268
1995,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85224
1996,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85207
1997,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85187
1998,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85145
1999,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85127
2000,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85079
2001,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85061
2002,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.85023
2003,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84987
2004,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84962
2005,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84938
2006,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.8491
2007,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84884
2008,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84856
2009,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84822
